		NEW INTERVAL -> 2h Elapsed time: 12.093794345855713
TICKER SKIPPED -> BTCUSDT2h Elapsed time: 7.152557373046875e-07
TICKER SKIPPED -> ETHUSDT2h Elapsed time: 2.384185791015625e-07
TICKER SKIPPED -> BNBUSDT2h Elapsed time: 0.0
TICKER SKIPPED -> LTCUSDT2h Elapsed time: 2.384185791015625e-07
TICKER SKIPPED -> ADAUSDT2h Elapsed time: 2.384185791015625e-07
TICKER SKIPPED -> XRPUSDT2h Elapsed time: 2.384185791015625e-07
TICKER SKIPPED -> EOSUSDT2h Elapsed time: 0.0
TICKER SKIPPED -> TRXUSDT2h Elapsed time: 2.384185791015625e-07
TICKER SKIPPED -> VETUSDT2h Elapsed time: 2.384185791015625e-07
		NEW INTERVAL -> 1h Elapsed time: 12.093796491622925
TICKER STARTED -> BTCUSDT1h
TICKER FINISHED -> BTCUSDT1h Elapsed time: 31.571054935455322
TICKER SKIPPED -> ETHUSDT1h Elapsed time: 7.152557373046875e-07
TICKER SKIPPED -> BNBUSDT1h Elapsed time: 2.384185791015625e-07
TICKER SKIPPED -> LTCUSDT1h Elapsed time: 2.384185791015625e-07
TICKER SKIPPED -> ADAUSDT1h Elapsed time: 2.384185791015625e-07
TICKER SKIPPED -> XRPUSDT1h Elapsed time: 2.384185791015625e-07
TICKER SKIPPED -> EOSUSDT1h Elapsed time: 2.384185791015625e-07
TICKER SKIPPED -> TRXUSDT1h Elapsed time: 2.384185791015625e-07
TICKER SKIPPED -> VETUSDT1h Elapsed time: 7.152557373046875e-07
		NEW INTERVAL -> 30m Elapsed time: 43.664854288101196
TICKER SKIPPED -> BTCUSDT30m Elapsed time: 2.384185791015625e-07
TICKER SKIPPED -> ETHUSDT30m Elapsed time: 0.0
TICKER SKIPPED -> BNBUSDT30m Elapsed time: 2.384185791015625e-07
TICKER SKIPPED -> LTCUSDT30m Elapsed time: 0.0
TICKER SKIPPED -> ADAUSDT30m Elapsed time: 0.0
TICKER SKIPPED -> XRPUSDT30m Elapsed time: 0.0
TICKER SKIPPED -> EOSUSDT30m Elapsed time: 2.384185791015625e-07
TICKER SKIPPED -> TRXUSDT30m Elapsed time: 2.384185791015625e-07
TICKER SKIPPED -> VETUSDT30m Elapsed time: 2.384185791015625e-07
		NEW INTERVAL -> 15m Elapsed time: 43.66485548019409
TICKER SKIPPED -> BTCUSDT15m Elapsed time: 2.384185791015625e-07
TICKER SKIPPED -> ETHUSDT15m Elapsed time: 0.0
TICKER SKIPPED -> BNBUSDT15m Elapsed time: 4.76837158203125e-07
TICKER SKIPPED -> LTCUSDT15m Elapsed time: 2.384185791015625e-07
TICKER SKIPPED -> ADAUSDT15m Elapsed time: 0.0
TICKER SKIPPED -> XRPUSDT15m Elapsed time: 0.0
TICKER SKIPPED -> EOSUSDT15m Elapsed time: 2.384185791015625e-07
TICKER SKIPPED -> TRXUSDT15m Elapsed time: 2.384185791015625e-07
TICKER SKIPPED -> VETUSDT15m Elapsed time: 0.0
		NEW INTERVAL -> 5m Elapsed time: 43.664856910705566
TICKER SKIPPED -> BTCUSDT5m Elapsed time: 2.384185791015625e-07
TICKER SKIPPED -> ETHUSDT5m Elapsed time: 2.384185791015625e-07
TICKER SKIPPED -> BNBUSDT5m Elapsed time: 0.0
TICKER SKIPPED -> LTCUSDT5m Elapsed time: 0.0
TICKER SKIPPED -> ADAUSDT5m Elapsed time: 2.384185791015625e-07
TICKER SKIPPED -> XRPUSDT5m Elapsed time: 2.384185791015625e-07
TICKER SKIPPED -> EOSUSDT5m Elapsed time: 0.0
TICKER SKIPPED -> TRXUSDT5m Elapsed time: 2.384185791015625e-07
TICKER SKIPPED -> VETUSDT5m Elapsed time: 2.384185791015625e-07
		NEW INTERVAL -> 3m Elapsed time: 43.66485834121704
TICKER SKIPPED -> BTCUSDT3m Elapsed time: 2.384185791015625e-07
TICKER SKIPPED -> ETHUSDT3m Elapsed time: 2.384185791015625e-07
TICKER SKIPPED -> BNBUSDT3m Elapsed time: 2.384185791015625e-07
TICKER SKIPPED -> LTCUSDT3m Elapsed time: 0.0
TICKER SKIPPED -> ADAUSDT3m Elapsed time: 2.384185791015625e-07
TICKER SKIPPED -> XRPUSDT3m Elapsed time: 2.384185791015625e-07
TICKER SKIPPED -> EOSUSDT3m Elapsed time: 2.384185791015625e-07
TICKER SKIPPED -> TRXUSDT3m Elapsed time: 0.0
TICKER SKIPPED -> VETUSDT3m Elapsed time: 0.0
		NEW INTERVAL -> 1m Elapsed time: 43.664859771728516
TICKER SKIPPED -> BTCUSDT1m Elapsed time: 2.384185791015625e-07
TICKER SKIPPED -> ETHUSDT1m Elapsed time: 2.384185791015625e-07
TICKER SKIPPED -> BNBUSDT1m Elapsed time: 2.384185791015625e-07
TICKER SKIPPED -> LTCUSDT1m Elapsed time: 2.384185791015625e-07
TICKER SKIPPED -> ADAUSDT1m Elapsed time: 2.384185791015625e-07
TICKER SKIPPED -> XRPUSDT1m Elapsed time: 4.76837158203125e-07
TICKER SKIPPED -> EOSUSDT1m Elapsed time: 0.0
TICKER SKIPPED -> TRXUSDT1m Elapsed time: 2.384185791015625e-07
TICKER SKIPPED -> VETUSDT1m Elapsed time: 2.384185791015625e-07
"----------------------SUCCESS----------------------
		 Total Time: 43.66486191749573"
